PMCID,female,male,female_percentage,male_percentage
PMC2467405,26,20,,
PMC2480971,84,155,,
PMC2481488,503,,,
PMC2483422,7,,,
PMC2483449,292,108,,
PMC2483456,,,,
PMC2483463,10,6,,
PMC2483562,,,,
PMC2483967,6,4,,
PMC2483990,22,21,,
PMC2491902,,,,
PMC2492836,,,,
PMC2493029,50,71,,
PMC2493537,38,,,
PMC2494669,,,,57
PMC2496906,30,,,
PMC2496990,236,,,
PMC2507732,3413,6895,,
PMC2515341,8,7,,
PMC2516174,,,,
PMC2518361,792,,,
PMC2518362,39,28,,
PMC2522269,403,,,
PMC2525980,32,,,
PMC2526084,,10,,
PMC2526434,,,,
PMC2526443,,,,
PMC2527666,,9,,
PMC2527667,2,8,,
PMC2527676,19,,,
PMC2528011,,,,
PMC2528948,8,15,,
PMC2529279,329,332,,
PMC2529339,43,37,,
PMC2535616,,,,
PMC2536698,10,8,,
PMC2544363,,,,
PMC2544366,,,,
PMC2544456,10,,,
PMC2553399,6,,,
PMC2553799,5,6,,
PMC2556320,,,,
PMC2556767,,,,
PMC2562019,,4,,
PMC2562341,133,172,,
PMC2562385,13990,,,
PMC2563263,3413,6895,,
PMC2564977,127,,,
PMC2567036,,296,,
PMC2567039,5,,,
PMC2567991,12,9,,
PMC2569962,9,6,,
PMC2570669,3,,,
PMC2570937,,,,
PMC2571977,32,152,,
PMC2572192,8,8,,
PMC2572731,2,,,
PMC2574410,8,12,,
PMC2575401,215,158,,
PMC2575607,12,,,
PMC2575611,9,11,,
PMC2575615,,,,
PMC2576054,,,,
PMC2576482,,100,,
PMC2577891,24,27,,
PMC2578764,999,,,
PMC2578766,999,,,
PMC2580022,,,,
PMC2581762,23,8,,
PMC2582180,3,7,,
PMC2582961,9,3,,
PMC2584196,,,,
PMC2585011,13,,,
PMC2588634,13,17,,
PMC2592266,,,,
PMC2592268,12,,,
PMC2592792,52,14,,
PMC2596101,9,9,,
PMC2596165,88,151,,
PMC2596794,1,7,,
PMC2602734,,,,
PMC2605698,5,1,,
PMC2605890,,,,
PMC2606811,,98,,
PMC2607539,,22,,
PMC2607552,24,117,,
PMC2613364,,,,
